Calliente;1;1;Hiszpania;2;nuta po¿eczki, je¿yny oraz œliwki, mo¿e delikatnie s³odkie
Tourelle de mandeloise MoelleuYvecourt Moelleux;3;1;Francja;4;prosty i wyraŸny smak wina gronowego bia³ego, s³odycz ledwo wyczuwalna, pyszne wino
Kasztelañski;4;6;;3.5;odpowiednio s³odki, pasuje samodzielnie oraz jako dodatek dañ g³ównych mo¿e poza rybami
Grzany Polski;4;7;;3.5;ale do warzyw odpada
Z³ota pasieka z sokiem malinowym;4;7;;4.5;jad³em z pizz¹ - dobrze komponowa³ siê, poza tym pasuje do deserów, mo¿na podawaæ na zimno z lodem
Piwnica Klasztorna;4;7;;1;
Sutter home;2;3;USA;3;prosty smak, s³aba cierpkoœæ, nie czu³em s³odkoœci
Santalibera merlot cabernet;1;2;W³ochy;2.5;gronowe z owocowym aromatem czarnej po¿eczki i owoców leœnych
Cavignon merlot demi sec;1;2;Francja;2;aromat owoców
Teliani Alaverdi;3;2;Gruzja;4;pasuje samo a jad³em te¿ z pstr¹giem
Terapaca Cabernet Sauvignon;1;1;Chile;2.5;poprostu wytrawne, delikatny smak winogron przez chwile pozostaje w ustach
Sutter Home Zinfandel;1;1;USA;3;mocny smak chwilê zostaje w ustach a potem skacze do nosa, lekko cierpkie, ale chyba takie ma byæ wino wytrawne?
Colossal Reserva;1;1;Portugalia;4;przyjemnie przep³ywa przez usta, na koniec zostaje posmak drewna beczek
Caleo Montepulciano d'Abruzzo;1;1;W³ochy;3.5;3 letnie w tym 2 lata w moim barku, pasuje do œrednio pikantnych potraw (chili con carne - mniej przypraw)
Solicello Chardonnay;3;1;W³ochy;1;niemal jak ruski szampan, czuæ bombelki
Casillero del Diablo;3;1;Chile;3;delikatny, prosty smak, pasowa³oby do kurczaka lub ryby
Villanyi rose cuvee;2;1;Wêgry;2.5;edit
Varvaglione 12 e Mezzo Primitivo del Salento;1;1;W³ochy;3.5;Wino o piêknej rubinowej barwie oraz przyjemnych nutach wiœni, truskawek, malin i kakao. W ustach miêkkie, ale z wyczuwalnym zakoñczeniem i odpowiedni¹ d³ugoœci¹. Idealne w kategorii win codziennych.
sac@;0;0;;;d
!@#$%^&*();0;0;;1;
!@#$%^&*;0;0;;1;xxxxxsxxx
!@#$%^&*_-+=\/|"':,.><;0;0;sdsd;1;dcxca
{}[];0;0;;1.5;sss
x;1;1;xsx;1;
Fresco;1;1;Nad Wis³¹;3.5;Tanie, ekonomiczne
